sentence,source,target,label,llm_label,title,abstract,doi
"The pH (2.4) (45:55), obtained the optimum decaffeination conditions at the concentration of bacteria &lt;i&gt;Bacillus subtilis&lt;/i&gt; 6% and a long incubation time of 24 hrs resulted in a decrease in Caffeine content of 51.3843±0.2503%",Bacillus subtilis,Caffeine,Cause-Effect,cause-effect,Efficacy of Using Bacillus subtilis Enzyme as a Caffeine Level Reducer in Cascara Robusta Coffee (Coffea canephora L.).,"&lt;b&gt;Background and Objective:&lt;/b&gt; An increase in the consumption of robusta coffee resulted in an increase in waste from coffee, one of the coffee wastes, namely coffee bean skins or cascara. Robusta coffee cascara contains 1-1.3 g of caffeine which causes side effects, such as insomnia and seizures etc. So this research aims to reduce the caffeine content in cascara by using &lt;i&gt;Bacillus subtilis&lt;/i&gt;. Using optimum conditions and capabilities. &lt;b&gt;Materials and Methods:&lt;/b&gt; The experiment was conducted from May to August, 2022 in the Pharmacy Laboratory, Faculty of Mathematics and Natural Sciences, Universitas Pakuan, Indonesia. Before optimizing, cascara was extracted using the ultrasonic assisted extraction (UAE) method, validated by the High-Performance Liquid Chromatography (HPLC) method to determine caffeine content and a paired sample t-test was performed using Statistical Package for the Social Sciences (SPSS). &lt;b&gt;Results:&lt;/b&gt; It showed that in validating the HPLC method, the wavelength of caffeine in cascara was 272 nm. The mobile phase was a mixture of methanol-water (adjust orthophosphate). The pH (2.4) (45:55), obtained the optimum decaffeination conditions at the concentration of bacteria &lt;i&gt;Bacillus subtilis&lt;/i&gt; 6% and a long incubation time of 24 hrs resulted in a decrease in caffeine content of 51.3843±0.2503%. &lt;b&gt;Conclusion:&lt;/b&gt; The results of the paired sample t-test indicate that the concentration of bacteria &lt;i&gt;Bacillus subtilis&lt;/i&gt; and incubation time significantly influence caffeine levels.",10.3923/pjbs.2023.600.606
"10 out of 12 (83.3%) patients received Montelukast, two (16.7%) Cyclosporine, two (16.7%) dapsone and one (8.3%) hydroxychloroquine as a third drug for chronic urticaria",Montelukast,Cyclosporine,Component-Whole,component-whole,UCOMB-real life data: treatment strategies for chronic urticaria patients with comorbidities.,"BACKGROUND
There is a lack of real-life safety data on treatment options for chronic urticaria in the presence of comedication and comorbidities.


METHODS
We present a single-center UCARE pilot study of 212 outpatients with chronic urticaria. Patients were divided into three groups according to different CU therapies according to international guidelines.


RESULTS
Of 212 patients, 108 (mean age 48.9 years, 71.3% female) had 59 comorbidities, including cardiovascular, autoimmune and malignant diseases. Patients were followed for a mean of 24.6 months (SD ± 21.3). Urticaria therapies were divided into three groups: A: 105 (97.2%) with omalizumab and 2nd generation antihistamines), B: 16 patients (14.8%): dual therapy with antihistamines and cyclosporine in 10 (9.3%), montelukast in five (4. 6%), dapsone in four (3.7%), hydroxychloroquine in one patient (0.9%), C: 12 (11.1%) patients received a third drug for 4.9 months (SD ± 3.2) and one quadruple therapy (2.1 months). 10 out of 12 (83.3%) patients received montelukast, two (16.7%) cyclosporine, two (16.7%) dapsone and one (8.3%) hydroxychloroquine as a third drug for chronic urticaria.


CONCLUSIONS
Combining treatment modalities for chronic urticaria and comorbidities are available and feasible with a good safety profile.",10.1080/09546634.2024.2329784
"10 out of 12 (83.3%) patients received montelukast, two (16.7%) Cyclosporine, two (16.7%) Dapsone and one (8.3%) hydroxychloroquine as a third drug for chronic urticaria",Cyclosporine,Dapsone,Component-Whole,component-whole,UCOMB-real life data: treatment strategies for chronic urticaria patients with comorbidities.,"BACKGROUND
There is a lack of real-life safety data on treatment options for chronic urticaria in the presence of comedication and comorbidities.


METHODS
We present a single-center UCARE pilot study of 212 outpatients with chronic urticaria. Patients were divided into three groups according to different CU therapies according to international guidelines.


RESULTS
Of 212 patients, 108 (mean age 48.9 years, 71.3% female) had 59 comorbidities, including cardiovascular, autoimmune and malignant diseases. Patients were followed for a mean of 24.6 months (SD ± 21.3). Urticaria therapies were divided into three groups: A: 105 (97.2%) with omalizumab and 2nd generation antihistamines), B: 16 patients (14.8%): dual therapy with antihistamines and cyclosporine in 10 (9.3%), montelukast in five (4. 6%), dapsone in four (3.7%), hydroxychloroquine in one patient (0.9%), C: 12 (11.1%) patients received a third drug for 4.9 months (SD ± 3.2) and one quadruple therapy (2.1 months). 10 out of 12 (83.3%) patients received montelukast, two (16.7%) cyclosporine, two (16.7%) dapsone and one (8.3%) hydroxychloroquine as a third drug for chronic urticaria.


CONCLUSIONS
Combining treatment modalities for chronic urticaria and comorbidities are available and feasible with a good safety profile.",10.1080/09546634.2024.2329784
"10 out of 12 (83.3%) patients received montelukast, two (16.7%) cyclosporine, two (16.7%) Dapsone and one (8.3%) Hydroxychloroquine as a third drug for chronic urticaria",Dapsone,Hydroxychloroquine,Component-Whole,component-whole,UCOMB-real life data: treatment strategies for chronic urticaria patients with comorbidities.,"BACKGROUND
There is a lack of real-life safety data on treatment options for chronic urticaria in the presence of comedication and comorbidities.


METHODS
We present a single-center UCARE pilot study of 212 outpatients with chronic urticaria. Patients were divided into three groups according to different CU therapies according to international guidelines.


RESULTS
Of 212 patients, 108 (mean age 48.9 years, 71.3% female) had 59 comorbidities, including cardiovascular, autoimmune and malignant diseases. Patients were followed for a mean of 24.6 months (SD ± 21.3). Urticaria therapies were divided into three groups: A: 105 (97.2%) with omalizumab and 2nd generation antihistamines), B: 16 patients (14.8%): dual therapy with antihistamines and cyclosporine in 10 (9.3%), montelukast in five (4. 6%), dapsone in four (3.7%), hydroxychloroquine in one patient (0.9%), C: 12 (11.1%) patients received a third drug for 4.9 months (SD ± 3.2) and one quadruple therapy (2.1 months). 10 out of 12 (83.3%) patients received montelukast, two (16.7%) cyclosporine, two (16.7%) dapsone and one (8.3%) hydroxychloroquine as a third drug for chronic urticaria.


CONCLUSIONS
Combining treatment modalities for chronic urticaria and comorbidities are available and feasible with a good safety profile.",10.1080/09546634.2024.2329784
"Prick and intradermal tests were performed on all patients with methylprednisolone Acetate (Depo-Medrol®, Pfizer) 40 mg/mL containing Polyethylene glycol (PEG) and triamcinolone acetonide (Kenacort®, Deva) 40 mg/mL containing polysorbate 80",Acetate,Polyethylene glycol,Component-Whole,component-whole,[Vaccination approach in patients with an allergic reaction to COVID-19 vaccines or at risk of developing allergic reactions].,"Introduction
There is consensus that patients at risk of developing an allergic reaction to COVID-19 vaccines should be evaluated by an immunologist-allergist to determine whether vaccination should be recommended. We wanted to share our experiences in the management of these high-risk patients, from diagnostic tests in allergological evaluation to the vaccination process.


Materials and Methods
Our retrospective cross-sectional study included patients who had previously developed an allergic reaction to COVID-19 vaccines or drugs and therefore were referred to our allergy and immunology clinic. Prick and intradermal tests were performed on all patients with methylprednisolone acetate (Depo-Medrol®, Pfizer) 40 mg/mL containing polyethylene Glycol (PEG) and triamcinolone acetonide (Kenacort®, Deva) 40 mg/mL containing polysorbate 80. While vaccination with desensitization was recommended for all patients with positive skin tests, split-dose vaccination was recommended for patients with negative skin tests. After explaining the risks and benefits, the choice of the vaccine (Pfizer/BioNTech or Sinovac/ CoronoVac) was left to the patients' discretion.


Result
A total of 41 patients, 10 males, and 31 females, with a mean age of 42.37 ± 14.177 years were included. Eighteen patients with a history of allergy after COVID-19 vaccines were analyzed according to the type of reaction and type of vaccine administered (Pfizer/BioNTech/Coronovac; Anaphylaxis: 4/1, Urticaria: 11/2). Moreover, there was a history of drug allergy in 23 patients who had not been vaccinated before. Skin tests with PEG were positive in a total of seven patients while skin tests with polysorbate 80 were negative in all patients. No allergic reaction developed in seven patients who underwent desensitization and in 34 patients who received a split dose.


Conclusions
Considering the potentially life-saving benefits of vaccination in a global pandemic environment, it is a safe and effective method to administer vaccines to at-risk patients using desensitization or split dosing techniques, based on their sensitivity status determined through a PEG skin test. This approach allows for the avoidance of preventing access to vaccines, while still ensuring the safety of patients.",10.5578/tt.20239920
"Prick and intradermal tests were performed on all patients with methylprednisolone acetate (Depo-Medrol®, Pfizer) 40 mg/mL containing polyethylene Glycol (PEG) and Triamcinolone acetonide (Kenacort®, Deva) 40 mg/mL containing Polysorbate 80",Triamcinolone,Polysorbate 80,Component-Whole,component-whole,[Vaccination approach in patients with an allergic reaction to COVID-19 vaccines or at risk of developing allergic reactions].,"Introduction
There is consensus that patients at risk of developing an allergic reaction to COVID-19 vaccines should be evaluated by an immunologist-allergist to determine whether vaccination should be recommended. We wanted to share our experiences in the management of these high-risk patients, from diagnostic tests in allergological evaluation to the vaccination process.


Materials and Methods
Our retrospective cross-sectional study included patients who had previously developed an allergic reaction to COVID-19 vaccines or drugs and therefore were referred to our allergy and immunology clinic. Prick and intradermal tests were performed on all patients with methylprednisolone acetate (Depo-Medrol®, Pfizer) 40 mg/mL containing polyethylene Glycol (PEG) and triamcinolone acetonide (Kenacort®, Deva) 40 mg/mL containing polysorbate 80. While vaccination with desensitization was recommended for all patients with positive skin tests, split-dose vaccination was recommended for patients with negative skin tests. After explaining the risks and benefits, the choice of the vaccine (Pfizer/BioNTech or Sinovac/ CoronoVac) was left to the patients' discretion.


Result
A total of 41 patients, 10 males, and 31 females, with a mean age of 42.37 ± 14.177 years were included. Eighteen patients with a history of allergy after COVID-19 vaccines were analyzed according to the type of reaction and type of vaccine administered (Pfizer/BioNTech/Coronovac; Anaphylaxis: 4/1, Urticaria: 11/2). Moreover, there was a history of drug allergy in 23 patients who had not been vaccinated before. Skin tests with PEG were positive in a total of seven patients while skin tests with polysorbate 80 were negative in all patients. No allergic reaction developed in seven patients who underwent desensitization and in 34 patients who received a split dose.


Conclusions
Considering the potentially life-saving benefits of vaccination in a global pandemic environment, it is a safe and effective method to administer vaccines to at-risk patients using desensitization or split dosing techniques, based on their sensitivity status determined through a PEG skin test. This approach allows for the avoidance of preventing access to vaccines, while still ensuring the safety of patients.",10.5578/tt.20239920
"The relationships among 5-HT3a receptor, Calcium/calmodulin (CaM) pathway, and ferroptosis were assessed via Western blotting, biochemical analysis, and lipid peroxidation assays, including Iron and calcium content, reactive oxygen species, glutathione peroxidase 4 (GPX4), ACSL, and CaM expression",Calcium,Iron,Component-Whole,component-whole,Ferroptosis Regulated by 5-HT3a Receptor via Calcium/Calmodulin Signaling Contributes to Neuropathic Pain in Brachial Plexus Avulsion Rat Models.,"Neuropathic pain is a prevalent complication following brachial plexus avulsion (BPA). Ferroptosis has been implicated in various nervous system disorders. However, the association between ferroptosis and neuropathic pain induced by BPA remains unclear. This study aimed to investigate the role of ferroptosis in BPA-induced neuropathic pain. A rat model of neuropathic pain was established via BPA induction. Pain thresholds of rats were measured after BPA surgery and intraperitoneal injection of Fer-1. On day 14 postsurgery, spinal dorsal horn (SDH) samples were collected for Western blotting, biochemical analysis, and immunohistochemistry to analyze the expression and distribution of ferroptosis-related markers. The relationships among 5-HT3a receptor, calcium/calmodulin (CaM) pathway, and ferroptosis were assessed via Western blotting, biochemical analysis, and lipid peroxidation assays, including iron and calcium content, reactive oxygen species, glutathione peroxidase 4 (GPX4), ACSL, and CaM expression. BPA-induced neuropathic pain was associated with iron accumulation, increased lipid peroxidation, dysregulated expression of Acyl-CoA synthetase long-chain family member 4, and GPX4, and changes in transferrin receptor, divalent metal transporter 1, and ferroportin-1 (FPN1). Intraperitoneal administration of Fer-1 reversed all of these alterations and mitigated mechanical and cold hypersensitivity. Inhibition of the 5-HT3a receptor reduced the extent of ferroptosis. Furthermore, the 5-HT3a receptor can regulate the calcium/CaM pathway via L-type calcium channels (LTCCs), and blocking LTCCs with nifedipine also alleviated ferroptosis in the SDH of BPA rats. Taken together, in rats with BPA, the development of neuropathic pain involves ferroptosis, which is regulated by the 5-HT3a receptor through the LTCCs and the calcium/CaM signaling pathway in the SDH.",10.1021/acschemneuro.4c00499
"The relationships among 5-HT3a receptor, Calcium/calmodulin (CaM) pathway, and ferroptosis were assessed via Western blotting, biochemical analysis, and lipid peroxidation assays, including iron and calcium content, reactive Oxygen species, glutathione peroxidase 4 (GPX4), ACSL, and CaM expression",Calcium,Oxygen,Component-Whole,cause-effect,Ferroptosis Regulated by 5-HT3a Receptor via Calcium/Calmodulin Signaling Contributes to Neuropathic Pain in Brachial Plexus Avulsion Rat Models.,"Neuropathic pain is a prevalent complication following brachial plexus avulsion (BPA). Ferroptosis has been implicated in various nervous system disorders. However, the association between ferroptosis and neuropathic pain induced by BPA remains unclear. This study aimed to investigate the role of ferroptosis in BPA-induced neuropathic pain. A rat model of neuropathic pain was established via BPA induction. Pain thresholds of rats were measured after BPA surgery and intraperitoneal injection of Fer-1. On day 14 postsurgery, spinal dorsal horn (SDH) samples were collected for Western blotting, biochemical analysis, and immunohistochemistry to analyze the expression and distribution of ferroptosis-related markers. The relationships among 5-HT3a receptor, calcium/calmodulin (CaM) pathway, and ferroptosis were assessed via Western blotting, biochemical analysis, and lipid peroxidation assays, including iron and calcium content, reactive oxygen species, glutathione peroxidase 4 (GPX4), ACSL, and CaM expression. BPA-induced neuropathic pain was associated with iron accumulation, increased lipid peroxidation, dysregulated expression of Acyl-CoA synthetase long-chain family member 4, and GPX4, and changes in transferrin receptor, divalent metal transporter 1, and ferroportin-1 (FPN1). Intraperitoneal administration of Fer-1 reversed all of these alterations and mitigated mechanical and cold hypersensitivity. Inhibition of the 5-HT3a receptor reduced the extent of ferroptosis. Furthermore, the 5-HT3a receptor can regulate the calcium/CaM pathway via L-type calcium channels (LTCCs), and blocking LTCCs with nifedipine also alleviated ferroptosis in the SDH of BPA rats. Taken together, in rats with BPA, the development of neuropathic pain involves ferroptosis, which is regulated by the 5-HT3a receptor through the LTCCs and the calcium/CaM signaling pathway in the SDH.",10.1021/acschemneuro.4c00499
"In this study, we determined the therapeutic effect of Parthenolide (PTL), the active component of Tanacetum parthenium, on neuropathic pain caused by Paclitaxel (PTX), a chemotherapeutic drug frequently used in cancer treatment, at the gene and protein levels",Parthenolide,Paclitaxel,Cause-Effect,cause-effect,Parthenolide as a potential analgesic in the treatment of paclitaxel-induced neuropathic pain: the rat modeling.,"In this study, we determined the therapeutic effect of parthenolide (PTL), the active component of Tanacetum parthenium, on neuropathic pain caused by paclitaxel (PTX), a chemotherapeutic drug frequently used in cancer treatment, at the gene and protein levels. To this end, 6 groups were formed: control, PTX, sham, 1 mg/PTL, 2 mg/kg PTL, and 4 mg/kg PTL. Pain formation was tested by Randall-Selitto analgesiometry and locomotor activity behavioral analysis. Then, PTL treatment was performed for 14 days. After the last dose of PTL was taken, Hcn2, Trpa1, Scn9a, and Kcns1 gene expressions were measured in rat brain (cerebral cortex/CTX) tissues. In addition, changes in the levels of SCN9A and KCNS1 proteins were determined by immunohistochemical analysis. Histopathological hematoxylin-eosin staining was also performed to investigate the effect of PTL in treating tissue damage on neuropathic pain caused by PTX treatment. When the obtained data were analyzed, pain threshold and locomotor activity decreased in PTX and sham groups and increased with PTL treatment. In addition, it was observed that the expression of the Hcn2, Trpa1, and Scn9a genes decreased while the Kcns1 gene expression increased. When protein levels were examined, it was determined that SCN9A protein expression decreased and the KCNS1 protein level increased. It was determined that PTL treatment also improved PTX-induced tissue damage. The results of this study demonstrate that non-opioid PTL is an effective therapeutic agent in the treatment of chemotherapy-induced neuropathic pain, especially when used at a dose of 4 mg/kg acting on sodium and potassium channels.",10.1007/s00210-023-02568-5
"Similarly, mungbean-Wheat cropping system resulted in lower bulk density and higher porosity and Nitrogen (N) contents, while fallow-wheat cropping system resulted in higher bulk density, and lower soil porosity and N contents",Wheat,Nitrogen,Cause-Effect,cause-effect,Weed infestation and productivity of wheat crop sown in various cropping systems under conventional and conservation tillage.,"Introduction
Climate change, pest infestation, and soil degradation are significantly reducing wheat (Triticum aestivum L.) yield. Wheat is cultivated in rice-wheat and cotton-wheat cropping systems and escalating global population is exerting substantial pressure on the efficiency of these systems. Conservation tillage and crop rotation could help in lowering soil degradation and pest infestation, and improving wheat yield.


Methods
This three-year study evaluated soil properties, weed infestation and wheat yield under various tillage and cropping systems. Six different cropping systems, i.e., cotton-wheat, sorghum-wheat, mungbean-wheat, rice-wheat, sunflower-wheat, and fallow-wheat (control) and three tillage systems, i.e., conventional tillage (CT), zero-tillage (ZT) and minimum tillage (MT) were included in the study.


Results
The individual and interactive effects of tillage and cropping systems significantly affected soil properties, weed infestation and yield of wheat crop. Overall, CT resulted in lower soil bulk density and higher porosity, while ZT behaved oppositely at all locations in this regard. Similarly, mungbean-wheat cropping system resulted in lower bulk density and higher porosity and nitrogen (N) contents, while fallow-wheat cropping system resulted in higher bulk density, and lower soil porosity and N contents. Similarly, ZT and CT resulted in higher and lower weed infestation, respectively. Likewise, lower and higher weed density and biomass were recorded in wheat-sorghum and wheat-fallow cropping systems, respectively at all locations. In the same way higher number of productive tillers, number of grains per spike, 1000-grain weight, grain yield, and economic returns of wheat crop were recorded for CT, whereas ZT resulted in lower values of these traits. Regarding interactions, wheat-mungbean cropping system with CT resulted in lower bulk density and higher porosity and N contents, whereas wheat-fallow system with ZT behaved oppositely at all locations in this regard. Similarly, higher and lower values for yield-related traits and economic returns of wheat crop were noted for mungbean-wheat cropping system under CT and fallow-wheat and sorghum-wheat cropping systems under ZT, respectively. It is concluded that the mungbean-wheat cropping system improved wheat productivity and soil health and sorghum-wheat cropping system could lower weed infestation. Therefore, these cropping systems can be practiced to lower weed infestation and improve wheat yield and economic returns.",10.3389/fpls.2023.1176738
