sentence,source,target,label,llm_label
"In addition, the hydrophilic Gelatin (GT) containing Thymol (THY) was fabricated as GT/THY layer to contact connective tissue, potentially for bacterial gathering",Gelatin,Thymol,Component-Whole,component-whole
The agar/Polyvinyl alcohol film containing 6% CSN (PVA/GG-6) exhibited the best sensitivity for Ammonia detection and its limit of detection was 35.4 ppm (part per million) for ammonia,Polyvinyl alcohol,Ammonia,Component-Whole,cause-effect
The agar/polyvinyl alcohol film containing 6% CSN (PVA/GG-6) exhibited the best sensitivity for Ammonia detection and its limit of detection was 35.4 ppm (part per million) for Ammonia,sensitivity for Ammonia,million) for Ammonia,Component-Whole,cause-effect
It was found that MCC shortened the hydrolysis time in the stereo-complexed crystalline region by reducing the rearrangement of amorphous structure to form SC and causing cracks and interfacial deterioration by Water absorption-swelling-degradation,MCC,Water,Cause-Effect,cause-effect
"The effect of addition of Amino acids including Methionine (Met) and histidine (His) at selected concentrations (2, 6, 10, and 15%) on the physicochemical, pasting, and rheological properties of water chestnut starch (WS) was evaluated",Amino acids,Methionine,Component-Whole,component-whole
"Citric acid modification of CHBS resulted in significantly higher Amylose amounts, solubilities, swelling powers, and water-binding capacities than those under STMP/STPP modification within the cultivars (p < 0.05), with their crystalline patterns of A-type (white and blue) and CB-type (black)",Citric acid,Amylose,Cause-Effect,cause-effect
Wheat starch consists of Amylose and amylopectin organized into alternating semicrystalline and amorphous layers in granules that vary in size and are embedded in the endosperm protein matrix,Wheat,Amylose,Component-Whole,component-whole
"This study examined the effects of Lactic acid bacteria fermentation on the physicochemical and functional properties of the flours from two Rice varieties, Shindongjin (SF) and Hitomebore (HF), both with similar amylose content",Lactic acid,Rice,Component-Whole,cause-effect
"The competition for water molecules between the OG and Rice starch resulted in partial swelling of the starch granules, consequently reducing particle size, lowering Amylose leaching, and decreasing the proportion of short-amylose chains",Rice,Amylose,Cause-Effect,cause-effect
"A single dose of Methotrexate (MTX) (20 mg/kg, i.p) was administered, followed by two weeks of diosgenin treatment via gavage starting one day before Methotrexate injection",dose of Methotrexate,day before Methotrexate,Component-Whole,cause-effect
"albicans strains isolated from cystic fibrosis patients, 18.91% were resistant to itraconazole, while 16.21% exhibited resistance to ketoconazole and Fluconazole, and only one strain was resistant to Voriconazole",Fluconazole,Voriconazole,Component-Whole,cause-effect
"Kaftrio, a next-generation triple-combination drug, consisting of the potentiator Ivacaftor (VX770) and the two correctors Tezacaftor (VX661) and elexacaftor (VX445), has been demonstrated to be a life-changing therapeutic modality for the majority of people with CF worldwide",Ivacaftor,Tezacaftor,Component-Whole,component-whole
"As an example, to access Iron, PA produces and secretes two siderophores, pyoverdine and pyochelin that are Iron chelators scavenging iron from the environment and bringing it back into the bacterial cells",to access Iron,that are Iron,Component-Whole,cause-effect
"The action of tris(1,10-Phenanthroline) ruthenium (II) bis(hexafluorophosphate) (RuPhen3) encapsulated in PEG114-block-PLAx micelles and vesicles was shown to result in an appreciable aPDT inactivation efficiency against planktonic Pseudomonas aeruginosa","1,10-Phenanthroline",Pseudomonas aeruginosa,Cause-Effect,cause-effect
"SGLT2i affected heart and liver signaling, but more reactive organs included the white adipose tissue, showing more lipolysis, and, particularly, the gut microbiome, with a lower relative abundance of bacteria taxa capable of fermenting phenylalanine and Tryptophan to cardiovascular uremic toxins, resulting in lower plasma levels of these compounds (including P-Cresol sulfate)",Tryptophan,P-Cresol,Cause-Effect,cause-effect
"In this study, we incorporated lyophilized platelet-rich Fibrin (LPRF), which contains a multitude of growth factors, into a Genipin-crosslinked gelatin/hyaluronic acid (GLT/HA-0.5 % GP) hydrogel to create an injectable and biofunctionalized composite material",Fibrin,Genipin,Component-Whole,component-whole
"Classical psychedelics from N,N'-dimethyltryptamine, psilocybin, Mescaline and various lysergamides cause specific alterations in perception, emotion and cognition by acting through Serotonin 5-HT2A receptor activation",Mescaline,Serotonin,Cause-Effect,cause-effect
"The Carob contains high sugar contents in pulp, fat in seed and minerals like Potassium, calcium, and phosphorus are present in pods",Carob,Potassium,Component-Whole,component-whole
"Whereas both water and Ethanol extract contain TPC (Phenol) viz; 60.13 ± 2.45 mg g-1, 68.24 ± 1.33 mg g-1, TTC (terpenoids)53.21 ± 1.4 mg g-1,51.27 ± 2.65 mg g-1, followed by TSC (sterol)as 45.58 ± 1.7 mg g-1, 57.27 ± 1.65 mg g-1 in moderate amounts respectively",Ethanol,Phenol,Component-Whole,component-whole
Uric acid is one of the few kidney stone minerals that can dissolve using oral alkalinization therapies such as Potassium citrate,Uric acid,Potassium,Component-Whole,cause-effect
"The results indicated that treatment of diabetic rats with Strawberry extract at 500 mg/kg body weight (BW) resulted in significant reductions in blood glucose level, serum Urea, and creatinine as well as significant increases in body weight, insulin activity, and protein levels",Strawberry,Urea,Cause-Effect,cause-effect
"We used liver tissue, serum exosomes and isolated hepatocytes from high-fat diet (HFD)-induced Zucker diabetic fatty (ZDF) rats and Leptin receptor (Lepr) knockout rats to investigate the correlation between hepatic Lepr defective and liver damage caused by Metformin",Leptin,Metformin,Cause-Effect,cause-effect
"This study investigated the antiglycation potential of pistachio green hull (PGH) and Pomegranate peel (PP) extracts, which are polyphenol-rich agro-residues, against fluorescent AGE formation and compared the results with Pyridoxine (vitamin B6), metformin, and EDTA (as usual chemical antiglycation agents)",Pomegranate,Pyridoxine,Cause-Effect,cause-effect
"Initial symptoms included leaf tissue Water loss, chloro-sis and elliptical lesions scattered across the leaf margin with further development leading to ellipse-shaped disease spots and leaf wilting (Fig",Water,Fig,Cause-Effect,cause-effect
"The complex [Pt(AEP)Cl2]; C-1 (where, AEP = 1-(2-Aminoethyl) Pyrrolidine) and its hydrolyzed diaqua form cis-[Pt(AEP)(H2O)2]2+; C-2 were synthesized for their bioactivity and in vitro kinetic study with bioactive thiol group (-SH) containing ligands (like; L- Cysteine and N-ac-L- cysteine) for their biological importance for 'drug reservoir' activity",Pyrrolidine,Cysteine,Component-Whole,component-whole
"Early clinical studies demonstrated that administration of Bempedoic acid resulted in lowering of LDL-C by 20-30% as monotherapy and by 40-50% when combined with Ezetimibe, in addition to lowering of high sensitivity C-reactive protein by 20-30%",Bempedoic acid,Ezetimibe,Cause-Effect,cause-effect
"The duration of hypoxia (saturation of peripheral Oxygen (SpO2) < 90%) was approximately two minutes, and the patient's lowest Oxygen saturation during induction was 76%",of peripheral Oxygen,patient's lowest Oxygen,Component-Whole,component-whole
The mobile phase consisted of HPLC-grade Water and acetonitrile each containing 0.3% heptafluorobutyric acid and 0.5% Formic acid at gradient conditions,Water,Formic acid,Component-Whole,component-whole
The molecular mechanisms underlying the acquisition of addiction/dependence on Morphine may result from the ability of the opioid to diminish the transport of L-Cysteine into neurons via inhibition of excitatory amino acid transporter 3 (EAA3),Morphine,Cysteine,Cause-Effect,cause-effect
"Vitamin B12, Cobalamin, is indispensable for humans owing to its participation in two biochemical reactions: the conversion of l-methylmalonyl Coenzyme A to succinyl coenzyme A, and the formation of methionine by methylation of homocysteine",Cobalamin,Coenzyme A,Component-Whole,component-whole
"RESULTS
The logistic regression model shows that, plasma lithium (Li) [OR (95 % CI): 1.963 (1.49-2.586)], Vanadium (V) [OR (95 % CI): 2.617(1.645-4.166)] and lead (Pb) [OR (95 % CI): 1.603(1.197-2.145)] were positively correlated with SLE, while Selenium (Se) [OR (95 % CI): 0.055(0.019-0.157)] and barium (Ba) [OR (95 % CI): 0.792(0.656-0.957)] had been identified as protective factors for SLE",Vanadium,Selenium,Cause-Effect,cause-effect
"While the C5 complement inhibitor Eculizumab was reserved for treatment-refractory generalized courses of AChR-Abs positive MG, two new drugs, the neonatal Fc receptor inhibitor efgartigimod and the more advanced C5 complement inhibitor Ravulizumab, have recently been approved as add-on therapy for AChR-Abs positive generalized MG (gMG)",Eculizumab,Ravulizumab,Component-Whole,cause-effect
"BACKGROUND
Sacituzumab govitecan (SG) is a Trop-2-directed antibody-drug conjugate containing cytotoxic SN-38, the active metabolite of irinotecan",Sacituzumab govitecan,SN-38,Component-Whole,component-whole
"CONCLUSION
Platinum-based regimens, including reduced-dose Cisplatin and carboplatin, remain the predominant first-line systemic therapies",Platinum,Cisplatin,Component-Whole,component-whole
"There is no clear standard-of-care treatment for patients with metastatic urothelial carcinoma following progression on enfortumab vedotin and Pembrolizumab, although multiple regimens are available, including Platinum-based chemotherapy, sacituzumab govitecan, and erdafitinib for selected patients",Pembrolizumab,Platinum,Component-Whole,cause-effect
"Patients with FGFR1/3 mRNA-positive locally advanced or metastatic UC with ≥ 1 prior Platinum-containing regimen were randomly assigned (1:1) to Rogaratinib (800 mg orally twice daily, 3-week cycles; n = 87) or chemotherapy (docetaxel 75 mg/m2, paclitaxel 175 mg/m2, or vinflunine 320 mg/m2 intravenously once every 3 weeks; n = 88)",Platinum,Rogaratinib,Component-Whole,cause-effect
"Fifty of these women received paclitaxel-Carboplatin, two received Doxorubicin-cisplatin, and one received docetaxel-carboplatin as postoperative chemotherapy",Carboplatin,Doxorubicin,Component-Whole,component-whole
"Fifty of these women received paclitaxel-carboplatin, two received doxorubicin-Cisplatin, and one received Docetaxel-carboplatin as postoperative chemotherapy",Cisplatin,Docetaxel,Component-Whole,component-whole
"MATERIALS AND METHODS
Patients with locally advanced/metastatic urothelial carcinoma with prior Platinum-containing chemotherapy and disease progression during/after programmed cell death protein 1/ligand 1 inhibitor treatment were randomized to Enfortumab vedotin or chemotherapy (docetaxel, paclitaxel, vinflunine)",Platinum,Enfortumab vedotin,Component-Whole,cause-effect
"Methods
We retrospectively reviewed patients with salivary gland carcinoma treated with a taxane and Platinum, which contained Docetaxel at a dose of 60 mg/m2 plus cisplatin at a dose of 70 mg/m2 on day 1, or paclitaxel at a dose of 100 mg/m2 plus carboplatin at a dose of area under the plasma concentration-time curve = 2.5 on days 1 and 8 (both on 21-day cycles), between January 2000 and September 2021",Platinum,Docetaxel,Component-Whole,component-whole
"At the same time, from the first day of administering drinking Water containing DSS, the animals were treated with 5-Aminosalicylic acid (5-ASA), 75 mg/kg/day, orally) or 7-HMIA (10 or 20 mg/kg/day, intraperitoneally), depending on the experimental group, respectively",Water,Aminosalicylic acid,Component-Whole,component-whole
"METHODS
A decision-analytic model was developed from a French payer's perspective over 5 years to assess budget impact of including Vedolizumab SC as MT for UC following induction therapy with vedolizumab intravenous (IV), by subtracting outcomes of a 'world without vedolizumab SC' from a 'world with vedolizumab SC.' Comparators included approved therapies: Infliximab (branded/biosimilar), adalimumab (branded/biosimilar), golimumab, ustekinumab, and vedolizumab IV",Vedolizumab,Infliximab,Component-Whole,cause-effect
The purpose of this study was to explore the protective effects of Selenium containing Soybean peptides (SePPs) on inflammatory bowel disease in colitis mice,Selenium,Soybean,Component-Whole,component-whole
"During the experimental period, the mice were administered with SePPs for 14 days, and then treated with drinking Water containing 2.5% Dextran sodium sulfate (DSS) for 9 days, while the intervention of SePPs was continued",Water,Dextran,Component-Whole,component-whole
We aim to compare the novel bowel cleansing method (test group) comprising SP/MC with Elobixibat hydrate and the standard bowel cleansing method comprising PEG plus Ascorbic acid (standard group) for patients preparing for outpatient colonoscopy,Elobixibat,Ascorbic acid,Component-Whole,component-whole
"These effects may be associated with the high levels of Ginsenoside Rg1, Re and Rb1 and rich variety of compounds in S-Nb including 6 Ginsenosides, glycyrrhizin, L-tryptophan, and so on",Ginsenoside Rg1,Ginsenoside,Component-Whole,component-whole
HMOs including 2'-Fucosyllactose (FL) and 3-FL and positive controls including fructooligosaccharide (FOS) and 5-Acetylsalicylic acid (5-ASA) were orally administrated once per day to C57BL/6J mice with colitis induced by 5% DSS in the administered drinking water,2'-Fucosyllactose,Acetylsalicylic acid,Component-Whole,component-whole
"The results show that the binding energies (binding free energy and hydrogen bonding energy) of Oxygen-containing demulsifier molecules with Water molecules were higher than those of resin molecules with water molecules, resulting in the fission of the hydrogen bonds between resin and water molecules",Oxygen,Water,Component-Whole,cause-effect
"Characterizing the balance of forces within these environments is essential to understanding their stability and function, and Water is an integral part of the condensate, playing an important role in mediating electrostatic and Hydrogen-bonding interactions",Water,Hydrogen,Component-Whole,component-whole
"Here, we investigate the ultrafast, picosecond Hydrogen-bond dynamics of a model biocondensate consisting of a peptide poly-l-Arginine (Poly-R) and the nucleic acid adenosine monophosphate (AMP) using coherent two-dimensional infrared (2D IR) spectroscopy",Hydrogen,Arginine,Component-Whole,component-whole
"The pore structure, surface Oxygen-containing functional groups, and their influence on Methane adsorption by CAC as the simplified coal model were investigated by using low-temperature nitrogen adsorption, Fourier transform infrared spectroscopy, Boehm titration, and X-ray photoelectron spectroscopy",Oxygen,Methane,Component-Whole,cause-effect
"Taken together, these findings highlight the Paclitaxel resistance in OCCC elucidates metabolic alternation, including ABC- and SLC- drug transporters, thereby affecting glycolysis metabolism in response to Paclitaxel resistance, and HK2 may become a novel potential therapeutic target for paclitaxel resistance.",highlight the Paclitaxel,response to Paclitaxel,Component-Whole,cause-effect
"Reduced viscosity by light and Melatonin elevates the availability of free water molecules that allow melatonin to adopt favorable conformations that enhance intrinsic features, including binding interactions with Adenosine that reinforces the adenosine moiety effect of ATP responsible for preventing water removal that causes hydrophobic collapse and aggregation in phase separation",Melatonin,Adenosine,Component-Whole,cause-effect
"We have found that CO induces the generation of reactive Oxygen species resulting in lipid peroxidation and a decrease in GSH via three different mechanisms: from mitochondria during the first minutes of CO exposure, from Xanthine oxidase at around 20 min exposure due to energy deprivation, and considerable ROS production from NADPH oxidase in the post CO exposure period (re-oxygenation)",Oxygen,Xanthine,Cause-Effect,cause-effect
"Cobalamin (or vitamin B12) is an essential Cobalt-containing organometallic cofactor in mammals and is escorted via an intricate network of chaperones to a single cytoplasmic target, Methionine synthase",Cobalt,Methionine,Component-Whole,component-whole
"Complex formation between MMADHC and methionine synthase is signaled by loss of the lower axial Nitrogen ligand, leading to five-coordinate thiolato-Cobalamin",Nitrogen,Cobalamin,Cause-Effect,component-whole
"Cobalamin (or vitamin B 12 ) is an essential Cobalt-containing organometallic cofactor in mammals, and is escorted via an intricate network of chaperones to a single cytoplasmic target, Methionine synthase",Cobalt,Methionine,Component-Whole,component-whole
"Complex formation between MMADHC and methionine synthase is signaled by loss of the lower axial Nitrogen ligand, leading to five-coordinate thiolato-Cobalamin",Nitrogen,Cobalamin,Cause-Effect,component-whole
"Furthermore, we demonstrated that Nur77 overexpression substantially increased the expression of several key enzymes involved in Nitric Oxide (NO) production and ROS scavenging, including endothelial nitric oxide synthase (eNOS), Guanosine triphosphate cyclohydrolase 1 (GCH-1), glutathione peroxidase-1 (GPx-1), and superoxide dismutases (SODs)",Nitric Oxide,Guanosine,Component-Whole,cause-effect
"Collectively, the covalent and noncovalent Mpro inhibitors and the Nirmatrelvir-resistant hot spot residues from our studies provide insightful guidance for future work aimed at developing orally bioavailable Mpro inhibitors that do not have overlapping resistance profile with Nirmatrelvir.",and the Nirmatrelvir,profile with Nirmatrelvir,Component-Whole,component-whole
"The most frequent DDIs involved Tacrolimus with N/R, resulting in Creatinine increase.Eighty percent of reported DDI-related adverse events would have been identified by all drug-interaction checkers, while the remaining 20% by at least 2 of them",Tacrolimu,Creatinine,Cause-Effect,cause-effect
"The simulated population geometric mean area under the curve ratio of Tucatinib with a moderate CYP2C8 inhibitor ranged from 1.98- to 3.08-fold, and based on these results, no dose modifications were proposed for moderate CYP2C8 inhibitors for the Tucatinib label.",ratio of Tucatinib,for the Tucatinib,Cause-Effect,component-whole
"CONCLUSIONS
Dicloxacillin increases expression of intestinal P-gp, leading to reduced oral absorption of Dabigatran",Dicloxacillin,Dabigatran,Cause-Effect,cause-effect
"Itraconazole inhibition led to an 81%-85% decrease of total 1β-OH DCA plasma exposures, whereas Rifampin induction led to a 6.8- to 10.3-fold increase of total 1β-OH DCA plasma exposures",Itraconazole,Rifampin,Cause-Effect,cause-effect
"The identified CYP3A4-mediated potential DDIs were evaluated clinically at a supratherapeutic dose of 1050 mg twice daily (b.i.d.) of Pomotrelvir, including pomotrelvir coadministration with Ritonavir (strong inhibitor of CYP3A4) or midazolam (sensitive substrate of CYP3A4)",Pomotrelvir,Ritonavir,Component-Whole,cause-effect
"METHODS
Toxic metals (Cadmium, lead, mercury, Cobalt) and essential elements (copper, manganese, zinc, selenium) were measured in placenta of 406 pregnant women in northern Sweden using ICP-MS",Cadmium,Cobalt,Cause-Effect,component-whole
"RESULTS
Median Cadmium, mercury, lead, Cobalt, copper, manganese, zinc, and selenium concentrations in placenta were 3.2, 1.8, 4.3, 2.3, 1058, 66, 10626, and 166 μg/kg, respectively",Cadmium,Cobalt,Cause-Effect,component-whole
"In the adjusted regression, Selenium (>147 μg/kg) was inversely associated with placental weight (B: -158; 95 % CI: -246, -71, per doubling), as was lead at low Selenium (B: -23.6; 95 % CI: -43.2, -4.0, per doubling)","adjusted regression, Selenium",at low Selenium,Cause-Effect,cause-effect
Animal models of Iodine deficiency and excess were generated by treating Wistar rats a low-iodine diet and deionized Water with different potassium iodide concentrations from reproductive age to lactation,Iodine,Water,Cause-Effect,component-whole
"METHODS
In a crossover-designed study, four different RUTFs were tested for short-term acceptability and organoleptic qualities (two globally available: peanut-based, which is the current standard, and Wheat-milk-based RUTFs; two regionally produced: a mung-Bean-based and a fish-rice-based RUTF)",Wheat,Bean,Component-Whole,component-whole
This study explored the variation of ileal endogenous amino acid (IEAA) losses and its influencing factors in chickens offered Nitrogen-free diets (NFD) containing different ratios of Amylose to amylopectin (AM/AP),Nitrogen,Amylose,Component-Whole,component-whole
The Copper complexes of two 1H-Benzimidazole-2-yl hydrazones were obtained by complexation with copper chloride,Copper,Benzimidazole,Component-Whole,component-whole
"It was found that both ligands form 1:1 complexes with the copper, where the Cu ions are coordinated by N-atom from the Benzimidazole ring, N-atom of the azomethine bond, O-atom from the ortho-OH group of the aromatic ring and one Chlorine atom",Benzimidazole,Chlorine,Component-Whole,component-whole
"Enrofloxacin (ENR) is one of the most common drugs used in Poultry production to treat bacterial diseases, and there is a high risk of drug interactions (DDIs) between polyether anticoccidial drugs added to poultry feed over time",Enrofloxacin,Poultry,Component-Whole,component-whole
"PURPOSE
The US Food and Drug Administration (FDA) approved capivasertib in combination with Fulvestrant for adult patients with hormone receptor-positive, human epidermal growth factor receptor 2 (HER2)-negative, locally advanced, or metastatic breast cancer (MBC) who have received at least one previous endocrine therapy and whose tumors harbor one or more phosphatidylinositol 3-kinase (PIK3CA)/AKT Serine/Threonine Kinase 1 (AKT1)/phosphatase and tensin homolog (PTEN) alterations, as detected by an FDA-approved test",Fulvestrant,PIK3CA,Component-Whole,component-whole
"RESULTS
In postmenopausal patients, Palbociclib led to an increase of 1.51 life years, Ribociclib of 1.58 years, and abemaciclib of 1.75 years, compared to letrozole alone",Palbociclib,Ribociclib,Cause-Effect,cause-effect
"In premenopausal patients, Ribociclib led to an increase of 1.82 life years when added to Goserelin and endocrine therapy, with an ICER of 44,579 USD",Ribociclib,Goserelin,Cause-Effect,cause-effect
"Co-treatment with GDC-0152 restored the sensitivity to the known ABCB1 substrates, including Paclitaxel, vincristine, and YM155 in ABCB1-expressing multidrug-resistant cancer cells, and it also restored the sensitivity to tamoxifen in BIRC5-overexpressing tamoxifen-resistant breast cancer cells in vitro",GDC-0152,Paclitaxel,Component-Whole,cause-effect
"Piperine and Dipyridamole were tested as enhancers alone or encapsulated in bilosomes comprising Span60, Cholesterol and bile salts",Dipyridamole,Cholesterol,Component-Whole,component-whole
"Application of quinone drugs, particularly β-Lapachone (β-lap), under normoxic and hypoxic conditions enabled us to produce ROS in cellulo and to show that β-lap treatment caused PP-InsP changes that are Oxygen-dependent",Lapachone,Oxygen,Cause-Effect,cause-effect
This work aimed to develop and optimize diclofenac Potassium (a highly used model drug of NSAIDs) as self-nanoemulsifying delivery system containing Coconut oil (DFP-COSNEDS) to overcome its ulcerogenic effect,Potassium,Coconut,Component-Whole,component-whole
The results revealed that pure Coconut oil and DFP-COSNEDS containing 25 % of coconut oil showed close figures to normal group and better values than Famotidine (FAM) group,Coconut,Famotidine,Component-Whole,cause-effect
"Meanwhile, the beneficial effects of several peptides (i.e., amylin, cholecystokinin, leptin, and stable gastric pentadecapeptide BPC 157, suggested as an acting mediator of the Dopamine brain-gut axis) were included in the Dopamine gastric ulcer story",of the Dopamine,in the Dopamine,Component-Whole,component-whole
"Furthermore, platinum effectively mitigates tumor hypoxia by catalyzing the decomposition of Hydrogen peroxides to generate Oxygen in the tumor microenvironment, thus improving the efficiency of chemotherapy",Hydrogen,Oxygen,Cause-Effect,cause-effect
"Objective
Nanosomal Docetaxel lipid suspension (NDLS) is a novel formulation developed to overcome toxicity issues caused by excipients (Polysorbate 80 and ethanol) present in commercially available docetaxel formulation",Docetaxel,Polysorbate 80,Cause-Effect,cause-effect
"Robust grafting poly(ethylene glycol) monomethacrylate (PEGMA) comb-like brushes were established onto WCS NPs modified with hydrophobic Deoxycholic acid (DC) using two aqueous solution systems, i.e., pure Water and water/ethanol",Deoxycholic acid,Water,Component-Whole,component-whole
"The physiological activity of Ginger is attributed to its functional components, including Gingerol and shogaol, and their derivatives",Ginger,Gingerol,Component-Whole,component-whole
"FMT in combination with antibiotic treatment showed that FBTB could elevate the levels of microbial Tryptophan metabolites, including Indole-3-acetaldehyde (IAld) and indole-3-acetic acid (IAA), by selectively promoting the growth of Lactobacillus",Tryptophan,Indole,Component-Whole,cause-effect
Chromatographic separation was conducted using an Acquity UPLC HSS T3 C18 column and a gradient mobile phase comprising acetonitrile and Water (containing 0.1% Acetic acid),Water,Acetic acid,Component-Whole,component-whole
"Paroxetine is acknowledged as one of the selective Serotonin reuptake inhibitors (SSRI), which is also considered as a potent GRK2 inhibitor with a high selectivity for GRK2",Paroxetine,Serotonin,Component-Whole,component-whole
Targeted and untargeted metabolic analysis suggested that ECIP dramatically altered the tryptophan metabolism in the feces of UC mice and promoted the conversion of Tryptophan into Indole metabolites including indolepyruvate and Indole-3-acetic acid (IAA) and indolealdehyde (IAId),Tryptophan into Indole,indolepyruvate and Indole,Component-Whole,cause-effect
Targeted and untargeted metabolic analysis suggested that ECIP dramatically altered the tryptophan metabolism in the feces of UC mice and promoted the conversion of tryptophan into Indole metabolites including indolepyruvate and indole-3-Acetic acid (IAA) and indolealdehyde (IAId),Indole,Acetic acid,Component-Whole,cause-effect
"With a novel approach, a series of porous manganese-iron PB (MnPB) colloids, which are shown to be efficient scavengers for reactive Oxygen species (ROS) including hydroxyl radical, superoxide anion, and Hydrogen peroxide, are prepared",Oxygen,Hydrogen,Component-Whole,component-whole
The Glucosamine-phosphate-N-acetyltransferase (GNA1) generates N-Acetylglucosamine-6-phosphate critical to produce UDP-GlcNAc,Glucosamine,N-Acetylglucosamine,Cause-Effect,component-whole
Agricultural and industrial Water drainage represents a considerable part of the lake Water supply,and industrial Water,the lake Water,Component-Whole,component-whole
"Water samples were collected from six locations to determine cadmium, Copper, lead, Zinc and iron",Copper,Zinc,Cause-Effect,component-whole
"Additionally, we demonstrate that Yeast pgm2Δ cell lysates expressing the two Pneumocystis pgm2 transcripts individually can restore PGM activities significantly altered in the Yeast pgm2Δ strain",demonstrate that Yeast,in the Yeast,Component-Whole,component-whole
Soybean (Glycine max) contains two major TI classes: Kunitz Trypsin inhibitor (KTI) and Bowman-Birk inhibitor (BBI),Glycine,Trypsin,Component-Whole,component-whole
"Chromium (Cr), arsenic (As), nickel (Ni), Cadmium (Cd), lead (Pb), mercury (Hg), Zinc (Zn), and copper (Cu) are the main heavy metals",Cadmium,Zinc,Cause-Effect,component-whole
"In the model, the cartilage compartment is created by embedding articular chondrocytes in Fibrin hydrogel while the bone compartment is obtained by embedding osteoblasts, osteoclasts, endothelial cells, and mesenchymal stem cells in a Fibrin hydrogel enriched with calcium phosphate nanoparticles",chondrocytes in Fibrin,in a Fibrin,Cause-Effect,component-whole
"In the model, the cartilage compartment is created by embedding articular chondrocytes in Fibrin hydrogel while the bone compartment is obtained by embedding osteoblasts, osteoclasts, endothelial cells, and mesenchymal stem cells in a fibrin hydrogel enriched with Calcium phosphate nanoparticles",Fibrin,Calcium,Cause-Effect,component-whole
We believe this to be caused by Water containing 0.78 mg/L of total Chlorine,Water,Chlorine,Component-Whole,component-whole
"Cefazolin was administered in 561 elbows (90%) and non-cefazolin antibiotics including Vancomycin (32 elbows, 5%), clindamycin (27 elbows, 4%), and piperacillin/tazobactam (2 elbows, 0.3%) were administered in the remaining 61 elbows (10%)",Cefazolin,Vancomycin,Component-Whole,cause-effect
"RESULTS
In the base case, Cenobamate led to cost savings of £51 967 (compared to Brivaracetam), £21 080 (compared to eslicarbazepine), £33 619 (compared to lacosamide), and £28 296 (compared to perampanel) and increased QALYs of 1.047 (compared to brivaracetam), 0.598 (compared to eslicarbazepine), 0.776 (compared to lacosamide), and 0.703 (compared to perampanel) per individual over a lifetime time horizon",Cenobamate,Brivaracetam,Cause-Effect,cause-effect
Trypsin is the most important digestive enzyme-encoding generated by the pancreas and can specifically cleave the carboxyl ends of Arginine and lysine residues,Trypsin,Arginine,Cause-Effect,cause-effect
"This transcriptional reprogramming changes, along with induced changes in the level of the phytohormones ABA, jasmonic acid, and Salicylic acid, led to enhanced Arabidopsis resistance to the widespread necrotrophic fungus Botrytis cinerea (B.c.) that causes the gray mold disease in many crop species and spoilage of harvested fruits",Salicylic acid,Botrytis cinerea,Cause-Effect,cause-effect
"Gastric emptying: Confusion emerges because of side-effects of drugs increasing gastric emptying: Metoclopramide (5-HT4 agonist, D2 and 5-HT3 antagonist; also blocks some emetic stimuli and causes tardive dyskinesia) and Erythromycin (high-efficacy motilin agonist, requiring low doses to minimise side-effects)",Metoclopramide,Erythromycin,Cause-Effect,cause-effect
"METHODS
The current study is a double-blind controlled randomized clinical trial for 8 weeks, in which people with heart failure were randomly assigned to two groups: intervention (one capsule containing 20 mg of Astaxanthin per day, n = 40) and placebo (one capsule containing 20 mg of Maltodextrin per day, n = 40) will be divided",Astaxanthin,Maltodextrin,Component-Whole,component-whole
"High Nitrate levels also led to specific gene expression patterns (e.g., polyamine metabolism), while other genes responded to inoculation regardless of Nitrogen supply conditions",Nitrate,Nitrogen,Cause-Effect,cause-effect
"Here, we report that feeding Arabidopsis thaliana with Ring-13 C-labeled Phenylalanine (13 C6 -Phe) resulted in incorporation of the 13 C label not into SA, but into its isomer 4-hydroxybenzoic acid (4-HBA) instead",Phenylalanine,4-hydroxybenzoic acid,Cause-Effect,cause-effect
"The aim of this work is to study the immune responses of the polychaete Sabella spallanzanii after exposure to Copper sulphate, an immunomodulating agent in marine organisms, and the multiple stresses caused by Escherichia coli infection, to validate the species as a model organism in marine-coastal biomonitoring programmes",Copper,Escherichia coli,Cause-Effect,cause-effect
"Many cancer and activated immune cells (Warburg effect) or yeasts (Crabtree effect) mostly rely on aerobic glucose fermentation leading to lactate or Ethanol, respectively, to generate ATP",Ethanol,ATP,Cause-Effect,cause-effect
"maxima infection under HS the Calcium signaling pathway was downregulated, including genes responsible for increasing the cytoplasmic Calcium concentration; and tryptophan metabolism was upregulated, including genes that contribute to catabolizing tryptophan through serotonin and indole pathways; which might result in reducing the cytoplasmic pool of nutrients and calcium available for the parasite to scavenge and consequently might affect the parasite's reproductive ability.",HS the Calcium,the cytoplasmic Calcium,Component-Whole,cause-effect
"maxima infection under HS the Calcium signaling pathway was downregulated, including genes responsible for increasing the cytoplasmic calcium concentration; and Tryptophan metabolism was upregulated, including genes that contribute to catabolizing tryptophan through serotonin and indole pathways; which might result in reducing the cytoplasmic pool of nutrients and calcium available for the parasite to scavenge and consequently might affect the parasite's reproductive ability.",Calcium,Tryptophan,Component-Whole,cause-effect
